I run.	私は走ります。
How about running?	走りませんか。
I run every day.	私は毎日走ります。
Never let me go.	決して放さないで。
Keep away from me.	俺に近づくな。
Let me see it.	ちょっと見せて下さい。
Let me see it.	それ、ちょっと見せて。
This is my book.	これは私の本です。
This book is new.	この本は新しい。
I do love you.	あなたが好きなのです。
This is Room 839.	８３９号室です。
Let me have a look.	見せてくれ。
Get a move on!	なにちんたら歩いてんだ。
The light is on.	明かりがついている。
She loves Tom.	彼女はトムを愛している。
He came running.	彼は走りながら来た。
He made for home.	彼は家に向かった。
I live in Tokyo.	東京に住んでいます。
He must not live.	生かしてはおかぬ。
There is no water.	水が少しもない。
I have a question.	質問があります。
Come to my house.	私の家へ来なさい。
I have a family.	私には家族がいます。
Let me do it.	私にそれをさせてください。
Let's take a look.	見てみましょう。
Let's get going.	さあ、始めましょう。
This book will do.	この本でいいよ。
May I have your name?	お名前は？
Let me help you.	お手伝いしましょう。
Here is your book.	あなたの本です。
What's your name?	あなたのお名前は？
I am experienced.	私には経験が有ります
Something is needed.　	何かが必要だ
Don't open your book.	本を開くな。
Let them come in.	彼らを入らせなさい。
He is in the House.	彼は議員である。
The light is out.	電球がきれています。
Come home early.	早く帰ってらっしゃい。
All were present.	全員が出席していた。
I saw her home.	私は彼女を家まで送った。
I live in Kobe.	私は神戸に住んでいます。
May I go home?	私は帰宅してもよいですか。
I want to go home.	私は家へ帰りたい。
I am in the house.	私は家の中にいる。
You keep out of this.	口を出すな。
Oh, let me show you.	見せてあげる。
Well, I loved it.	なかなか良かったよ。
What do you mean?	どういう意味ですか？
That name is Ken.	その名前はケンです。
Give me the book.	その本をとってくれ。
Let's do the work.	その仕事をやろう。
OK, I'll order it.	じゃあ注文します。
Let's be off now.	さあ出かけましょう。
This is her book.	これは彼女の本です。
This book is small.	この本は小さい。
Keep the change.	お釣りは取っておいて。
That is her house.	あれは彼女の家だ。
I'm on your side.	あなたを支持します。
Many people like X.	Xを多くの人が好む
He came in person.	彼本人がやってきた。
Her face lit up.	彼女は明るい顔になった。
Give my love to her.	彼女によろしく。
He got home at six.	彼は六時に帰った。
He is running now.	彼は今走っています。
He speaks English.	彼は英語を話します。
Keep your head down.	頭を上げるなよ。
The lights are out.	灯りが消えている。
He lives in Osaka.	大阪に住んでいます。
I live in Hyogo.	私は兵庫県に住んでいる。
I live in Japan.	私は日本に住んでいます。
I just moved.	私は引っ越してきたばかりです。
I'm on your side.	私はあなたの味方です。
My name is Yamada.	私の名前は山田です。
Let me help you.	私に手伝わせてください。
May I go home now?	今、家に帰っていい？
Live and let live.	己も生き他も生かせ。
I know your name.	君の名前は知っている。
I will take you home.	家まで送ろう。
He is away from home.	家にはいない。
What do you mean?	何を言いたいのですか。
Keep to the right.	右側通行をしなさい。
Any book will do.	どんな本でも結構です。
At last, he came.	ついに彼はやって来た。
Let's be going now.	そろそろ行こうか。
Keep away from that.	それに近づくな！
The man ran away.	その男は逃げていった。
I'm going home now.	これから帰ります。
This book was new.	この本は新しかった。
Here's some water.	ここに水が少しある。
Here is a book.	ここに一冊の本があります。
Those are my books.	あれは私の本です。
That's our house.	あれは私たちの家です。
Look at that house.	あの家を見なさい。
When do you run?	あなたはいつ走りますか。
Let's make it three.	３時にしようよ。
What does it mean?	それ、どういう意味？
He knows my name.	彼は私の名前を知っている
Many people say 〜.	〜とみんなが口を揃える
May I speak to you?	話してもいいですか。
The question is this.	問題はこうです。
I can see the light.	目から鱗が落ちた。
They have few books.	本はほとんどない。
My name is Yatarou.	僕の名は弥太郎です。
I know what you mean.	分かる、分かる。
He moved to Tokyo.	彼は東京に引っ越した。
He has a large family.	彼は大家族だ。
He lives in Kyoto.	彼は京都に住んでいる。
He ran on and on.	彼はどんどん走り続けた。
Long may he live!	彼の命の長からんことを。
May he live long!	彼が長生きしますように。
Only one way to live.	道はただひとつ。
Who runs the show?	誰が会社の経営者かね。
It is a small world!	世間は狭いですね。
Man is 70% water.	人間は７０％水なんだよ。
I ran for my life.	私は命からがら逃げた。
I don't love her.	私は彼女を愛していない。
I can speak English.	私は英語が話せる。
Come into my room.	私の部屋に入りなさい。
We speak Japanese.	私たちは日本語を話す。
Let it all out.	込み上げる感情をさらけ出せ。
My name is Hopkins.	我が名はホプキンス。
You know something?	意外な話があるんだ。
Which is your book?	どれが君の本ですか。
The house is to let.	その家は貸家です。
Let me do that.	そのことなら私に任せておけ。
Do it by all means.	ぜひそれをしなさい。
These are my books.	これらは私の本です。
This is an old book.	これは古い本です。
This is your book.	これはあなたの本です。
This book is hers.	この本は彼女の物です。
Is this book yours?	この本は君のですか。
This book is yours.	この本はきみのだよ。
Let's get off here.	ここで降りましょう。
Keep to the right.	ここでは右側通行です。
That is your book.	あれはあなたの本です。
My name is Andrea.	アンドレアと申します。
X has one meaning.	Xには一つ意味が有ります
She isn't running.	彼女は今走っていません。
Her means are small.	彼女の財産は少ない。
He ran up to her.	彼は彼女の所に駆け寄った。
He is close with her.	彼は彼女と親密だ。
He lives in Tokyo.	彼は東京に住んでいます。
He lives in Tokyo.	彼は東京で暮らしている。
He ran away from home.	彼は家出をした。
He speaks French.	彼はフランス語を話します。
I take sides with him.	彼の味方になる。
I gave him the book.	彼にその本をあげた。
I saw him running.	彼が走っているのを見た。
I'd like some water.	水が欲しいのですが。
Keep your hand still.	手を動かさないで。
Don't let me down.	私を落胆させないでくれ。
I ran for my life.	私は必死になって逃げた。
I gave him a book.	私は彼に本を一冊やった。
I live in Yokohama.	私は横浜に住んでいる。
I got home at seven.	私は7時に帰宅した。
Where is my book?	私の本はどこにありますか。
My family is small.	私のうちは小人数です。
Do you live here?	君は当地に住んでいるのか。
Where do you live?	君の住まいはどこですか。
Do you speak English?	英語を話しますか。
How is your family?	家族の皆さんはお元気？
I live in Kakogawa.	加古川に住んでいます。
Don't make light of me.	俺をなめるな。
Let's speak English.	英語を話しましょう。
Let me go with you.	一緒に行かせて下さい。
Come closer to me.	もっと私の側に来なさい。
Tom is in the house.	トムは家の中に居る。
Where do you live?	どちらにお住まいですか。
Do come by all means.	ぜひ来てください。
How is your family?	ご家族はお元気ですか。
These books are new.	これらの本は新しい。
This is their house.	これは彼らの家です。
Is this your book?	これはあなたの本ですか。
He must love you.	彼はきっと君が好きなんだ。
What is your name?	あなたの氏名は何ですか。
Where is Room 105?	１０５号室はどこですか。
Do you have a family?	ご家族はいますか。
Let them all come.	矢でも鉄砲でも持ってこい。
Do you mean what you say?	本気ですか。
I'll do it by all means.	必ずやります。
She lived a long life.	彼女は長生きした。
She is very human.	彼女は人間性に富んでいる。
Does he live here?	彼は当地に住んでいるのか。
He was ordered home.	彼は帰国を命じられた。
He lives close by.	彼はすぐ近くに住んでいる。
He lives close by.	彼はすぐそばに住んでいる。
He came home at ten.	彼は１０時に帰宅した。
I know him by name.	彼の名前を知っています。
I know him by name.	彼の名前は知っています。
You may speak to him.	彼に話しても良いよ。
No one was present.	誰も出席していなかった。
Live and let live.	世の中は持ちつ持たれつだ。
It's a small world.	世の中は狭いものですね。
Water finds its level.	水は低きに流れる。
Let me give you a hand.	手伝いましょう。
Live and let live.	自分も生き、他人も生かせ。
Time runs on.	時間というものは早く経過するものだ。
Time is running out.	時間が無くなってきた。
I have two books.	私は二冊の本を持っています。
My name is Hashimoto.	私は橋本といいます。
I can speak English.	私は英語をしゃべれる。
We set out for home.	私たちは家路についた。
I'm going to go home.	今から家に帰ります。
You don't understand.	君、わかってないね。
Something must be done!	何かしなければ。
Can you speak English?	英語を話せますか。
Let's study English.	英語を勉強しましょう。
Can I go home now?	もう帰宅してもいいですか。
Where do you live?	どこに住んでいるんですか。
Where is the book?	その本はどこにありますか。
I was at home then.	その時私は家に居ました。
Jack speaks English.	ジャックは英語を話す。
These are our books.	これらは私達の本です。
This is a small book.	これは小さい本です。
This is Tony's book.	これはトニーの本です。
Is that your room?	これはあなたの部屋ですか。
This is the last time.	これが最後だから。
This book is smaller.	この本の方が小さい。
Keep the change.	おつりは取っておいてください。
They are too close.	あの二人はどうも怪しい。
Do you love me?	あなたは私を愛しているのですか。
You may go home.	あなたは家に帰ってもよろしい。
I've always loved you.	ずっとあなたが好きだ
It makes us more human.	それが人間性を育む
I think I understand.	分かるような気がする。
Could I change rooms?	部屋を変えられますか。
Come into the room.	部屋の中に入ってください。
Let it be on your head!	不幸は私の責任だ。
She is loved by him.	彼女は彼に愛されている。
She's always on the go.	彼女は働きづめだ。
She took her book.	彼女は自分の本を手に取った。
They love each other.	彼らは愛し合っている。
They are running now.	彼らは今走っています。
They questioned him.	彼らはまた尋ねて言った。
He ran into the room.	彼は部屋に駆け込んだ。
He has a large family.	彼は扶養家族が多い。
He gave her a book.	彼は彼女に本をあげました。
He lives in Nagasaki.	彼は長崎に住んでいる。
He does speak well.	彼は実に話すのがうまいよ。
Can he speak English?	彼は英語が話せますか。
Where does he live?	彼はどこに住んでいますか。
He is close to sixty.	彼は６０歳ぐらいです。
Do you speak Japanese?	日本語が話せますか。
Do you speak Japanese?	日本語は話せますか。
Do you live in Tokyo?	東京にお住まいですか。
The light doesn't work.	電気がつきません。
I live in the country.	田舎に住んでいます。
Do you like the country?	田舎が好きかね。
Who is in this room?	誰がこの部屋にいますか。
Could you let it out?	出していただけますか。
Let's have a go at it.	試しにやってみよう。
Don't let me down.	私をがっかりさせないでくれ。
I do not get up early.	私は起きるのが遅い。
I have a few books.	私は少し本を持っています。
I live in Kyoto now.	私は今京都に住んでいる。
I gave Mary a book.	私はメアリーに本を上げた。
I have many books.	私はたくさん本を持っている。
I have a large family.	私の家族は大人数だ。
Let me take a look.	私にちょっと見せて下さい。
I love what you are.	今のあなたを愛している。
We are a family of four.	家族は４人です。
What time does it close?	何時閉店ですか。
May I say something?	何か言ってもいいですか。
Do you speak English?	英語をはなされますか。
May I run with you?	一緒に走ってもいいですか。
Have you got a lighter?	ライター持ってる？
At last, we were home!	やっと帰ってきたぞ！
You can go home now.	もう帰宅してもよろしい。
You can go home now.	もう帰ってもいいですよ。
Can I go home now?	もう家へ帰ってもいいですか。
May I go home now?	もう家に帰ってもよいですか。
Tony runs every day.	トニー君は毎日走ります。
Let me know the way.	どうか道を教えておくれ。
At last he came to.	ついに彼は息を吹き返した。
I didn't mean it.	そんなつもりではなかったんだ。
It is of great value.	それは大変価値がある。
This book is Tony's.	この本はトニーの物です。
Do you need this book?	この本はいりますか。
Is this book yours?	この本はあなたの物ですか。
Who owns this house?	この家は誰のものですか。
Where do you live?	きみはどこに住んでいますか。
Those are our books.	あれらは私たちの本です。
You don't run here.	あなたはここで走りません。
Which is your book?	あなたの本はどちらですか。
Where is your room?	あなたの部屋はどこですか。
Come home by 6:30.	６時半までには帰ってきてね。
I didn't order this.	これは注文していません。
Come home before six.	６時に帰ってきなさい。
There is an increase in X.	Xが多くなった
Can I take books out?	本は持ち出しできますか。
I take sides with you.	僕はあなたの見方です。
She's not at home now.	彼女は今家にいません。
She still loved him.	彼女はまだ彼を愛していた。
I know her by name.	彼女の名前だけは知っている。
Did they live here?	彼らは当地に住んでいたのか。
He showed what he meant.	彼は本音を出した。
He came into the room.	彼は部屋に入ってきた。
He gave me this book.	彼は私にこの本をくれた。
Does he speak English?	彼は英語を話せますか。
He lives in Boston.	彼はボストン市に住んでいる。
Does he live here?	彼はここに住んでいるのですか。
He came into the room.	彼が部屋に入ってきた。
Who can speak English?	誰が英語を話せますか。
I'll take it home with me.	持ち帰ります。
I use it every day.	私は毎日それを使っています。
I meant what I said.	私は本気でそういったのだ。
I have few books.	私は少ししか本を持っていません。
I have to go home.	私は帰宅しなければいけません。
I always get up early.	私はいつも早く起きる。
My name is Hisashi.	私は「ひさし」という名前だ。
My room is very small.	私の部屋はとても狭い。
How's my order coming?	私の注文はまだですか。
My family is an old one.	私の家は旧家です。
Will you let me at it?	私にやらせてくれない？
I know what you mean.	言いたいことは分かるよ。
Where do you live?	君はどこに住んでいるのですか。
My family are all well.	家族は全員元気です。
Give me something to do.	何か仕事を下さい。
Let's speak in English.	英語で話しましょう。
Well, here we are at last!	やっと着いた。
Peter loves Jane.	ペーターはジェーンを愛している。
What a small world!	なんて世界は狭いのでしょう。
Which book is better?	どちらの本がよいですか。
May you live long!	どうぞ長生きなさいますように。
We have no such example.	そんな先例はない。
Let me have a look at it.	それを見せてよ。
They aren't my books.	それらは私の本ではない。
It's for my family.	それは私の家族へのものです。
Few people think so.	そう思っている人が少ない。
How about your family?	ご家族はいかがですか。
What does this mean?	これはどういう意味ですか。
This room is for VIPs.	この部屋は要人用です。
Who owns this house?	この家はだれの所有ですか。
This house is to let.	このいえは貸し家である。
Ken wasn't running.	ケンは走っていませんでした。
Let me take you home.	お宅にお送りしましょう。
All are well at home.	うちではみんな元気です。
When will you come home?	いつ帰宅しますか。
Those are their books.	あれらは彼らの本です。
This is just another day.	ありふれた一日。
I will see you home.	あなたを家まで見送ります。
Do you run every day?	あなたは毎日走りますか。
Where do you live?	あなたはどこにお住まいですか。
It always moves me.	その姿にはいつも心を打たれます
Can you give me a house?	僕に家をくれないか。
Show me another example.	別の例を示しなさい。
You must go out of the room.	部屋を出ろ。
She is a high-liver.	彼女は高望みするタイプです。
She lives in Yokohama.	彼女は横浜に住んでいる。
She can speak Russian.	彼女はロシア語が話せる。
She is close on sixty.	彼女はもうすぐ６０歳だ。
She can speak French.	彼女はフランス語が話せる。
She got home at seven.	彼女は７時に家に着いた。
He spoke to the point.	彼は要領を得た話をした。
He goes there every day.	彼は毎日そこへ行く。
He is in love with her.	彼は彼女に恋している。
Can he speak Japanese?	彼は日本語が話せますか。
He does not get up early.	彼は早く起きない。
He speaks English well.	彼は上手に英語を話す。
He came into my room.	彼は私の部屋へ入ってきた。
He came into my room.	彼は私の部屋に入ってきた。
He is living in Tokyo.	彼は今東京に住んでいる。
Where does he live?	彼は何処に住んでいるのですか。
He used to live here.	彼は以前ここに住んでいた。
Can he speak French?	彼はフランス語を話せますか。
He could speak French.	彼はフランス語を話せた。
He understands French.	彼はフランス語がわかる。
He came home just now.	彼はついさっき帰宅した。
He used to love her.	彼はかつて彼女を愛していた。
He is always studying.	彼はいつも勉強している。
Who is in this room?	誰がこの部屋の中にいますか。
Always do what is right.	常に正しい事をせよ。
Keep up with the times.	時代に遅れないように。
I go to work every day.	私は毎日勤めに出ます。
I'm looking for a house.	私は家を探している。
I can speak English.	私は英語を喋ることができる。
I can speak English.	私は英語を話す事が出来ます。
I have many books.	私はたくさんの本を持っています。
I like this book best.	私はこの本が一番好きだ。
My family are all well.	私の家族は皆元気です。
My family is a large one.	私の家は大家族だ。
I mean what I say.	私が言っていることは本気なのだ。
Be at home this evening.	今夜うちにいてくれ。
Where do you live now?	今何処に住んでいますか。
I'll have to let you know.	考えておきます。
You may go home now.	君はもう家へ帰ってよろしい。
When will you come home?	何時に帰ってくるの。
We want something new.	何か新しいものがほしい。
I saw a light far away.	遠くに明かりが見えた。
Can't you speak English?	英語が話せないのか？
Do you have a lighter?	ライターをお持ちですか。
Tony lives in Kobe.	トニー君は神戸に住んでいます。
Much water is needed.	たくさんの水が必要である。
Most people think so.	たいていの人がそう考える。
Let's go at our work.	さあ仕事をはじめましょう。
May I take your order?	ご注文を承りましょうか。
Would you like to order?	ご注文なさいますか。
Can I keep this?	これももらっておいても、良いですか。
Is this book Takeo's?	この本は健夫のものですか。
How old this book is!	この本は何と古いのだろう。
Where does this book go?	この本どこに置くの。
Do not run in this room.	この部屋では走るな。
This house is very good.	この家はとても良い。
Is Emily at home now?	エミリーは今家にいますか。
We are a family of five.	うちは５人家族です。
America is very large.	アメリカはとても大きい。
You must go home.	あなたは家へ帰らなければならない。
You can speak English.	あなたは英語が話せます。
You came home at 5:00.	あなたは５時に帰宅した。
I'll give you a book.	あなたに本をあげましょう。
X had little meaning.	Xがあまり意味を持たなかった
I'm running out of time.	もう、私には時間が無い
My hands moved on their own.	勝手に手が動く
Its name comes from X.	それはXにその名が由来する
This is Mr Suzuki speaking.	鈴木と申します。
Yumi has many books.	由美は本をたくさん持っている。
My name is Ichiro Tanaka.	名前は田中一郎です。
Who doesn't love her?	彼女を愛さない者がいようか。
She came into the room.	彼女は部屋に入ってきた。
She spoke up for him.	彼女は彼のために口添えした。
She can speak Japanese.	彼女は日本語が話せます。
Does she speak English?	彼女は英語を話しますか。
She lived to be ninety.	彼女は９０歳まで生きた。
She came into the room.	彼女が部屋に入ってきた。
He is a man of few wants.	彼は欲の少ない人だ。
He came out of the room.	彼は部屋から出てきた。
Is he loved in Japan?	彼は日本で愛されていますか。
He did not get up early.	彼は早く起きなかった。
He lived to be ninety.	彼は生きて９０歳になった。
He gave me a present.	彼は私にプレゼントをくれた。
He is good for something.	彼は何かの役に立つ。
He is speaking English.	彼は英語を話しています。
He used to get up early.	彼は以前早起きだった。
He did come at last.	彼はとうとう本当にやってきた。
When will he go home?	彼はいつ家に帰れるのですか。
He is always on my side.	彼はいつも私の味方だ。
He is always with me.	彼はいつも私といっしょです。
Japanese houses are small.	日本の家は小さい。
Watanabe is my family name.	渡辺が名字です。
Is Mr Nakamura at home?	中村さんはご在宅ですか。
We moved into a new house.	新居へ引っ越した。
Could you let him out?	出してやってくれませんか。
I gave him a few books.	私は彼に本を数冊与えた。
I saw him running away.	私は彼が逃げるのを見た。
I'd love to come with you.	私は君と行きたい。
I can't speak French.	私はフランス語が話せません。
I got out of that house.	私はその家を出ました。
I always get up at six.	私はいつも６時に起きる。
My family is a large one.	私の家族は大勢です。
My family are all well.	私のうちはみな元気です。
My family is a large one.	私に家族は大勢です。
We are not speaking.	私たちは今日は話をしていない。
We helped one another.	私たちは互いに助け合った。
We had always been close.	私たちは一緒にいた。
All I have is books.	私が持っているのは本だけです。
Let's go back to our places.	座席へ戻ろう。
Must I come home now?	今帰らなければなりませんか。
I'll let it go this time.	今回は大目に見よう。
Let's help each other.	お互いに助け合いましょう。
Can you speak French?	君はフランス語が話せますか。
You have many books.	君はたくさんの本を持っている。
I can't keep up with you.	君についていけない。
Let us do the work.	我々にその仕事をやらせて下さい。
Something's got to give.	何かで妥協しなくちゃ。
I have to do something.	何かしなければならない。
I will love you always.	永遠にあなたを愛します。
I saw him run away.	わたしは彼が逃げていくのを観た。
You'd better go home now.	もう家に帰りなさい。
Mary. That's my name.	メアリーですよ、私の名前は。
But they are all people.	でも、みんな人間です。
Let's get it over with.	それを片付けてしまおう。
It is of little value.	それはほとんど価値が無い。
It has my name on it.	それには私の名前があります。
What do you mean by it?	それどういう意味ですか？
Did you order the book?	その本を注文しましたか。
You may take the book.	その本を持っていってよい。
I didn't mean that.	そのつもりで言ったのでは・・・。
Let's get down to work.	さあ仕事に取り掛かろう。
How's your family?	ご家族の皆様おかわりありませんか。
This is a very old book.	これは大変古い本です。
This book is very small.	この本はとても小さい。
This book is very new.	この本はとても新しいです。
Let's keep this level.	このレベルを守りましょう。
The fewer, the better.	ごちそうは小人数ほどよい。
What was your name?	お名前は何とおっしゃいましたか。
When did they go home?	いつ彼らは帰宅しましたか。
Did you speak at all?	いったい君は口をきいたのか。
That book is a new book.	あの本は新しい本です。
He is very mean to me.	あの子は私に意地悪するよ。
That house is very small.	あの家は大変小さい。
You have two books.	あなたは二冊の本を持っています。
You'd better go home.	あなたは家に帰った方がよい。
You can speak German.	あなたはドイツ語が話せます。
Do you need the book?	あなたはその本が必要ですか。
Well, here we are at last.	ああやっと着いた。
He still loves her.	彼はまだ彼女のことを愛している。
I'm always moved by X.	私はXにいつも感動を覚えます
Study English every day.	毎日英語を勉強しなさい。
I mean what I'm saying.	僕は本気で言っているんだ。
Give me another example.	別の例をあげてください。
Will you get me a room?	部屋を取ってくれませんか。
I will come by all means.	必ずうかがいましょう。
He loves no one but her.	彼女以外の誰も愛さない。
She's off and running.	彼女もう浮かれちゃってるよ。
Her family is very large.	彼女の家族は大人数だ。
He looked around the room.	彼は部屋を見回した。
He is just to a person.	彼は人に対して公平である。
He came up to my room.	彼は私の部屋へ上がってきた。
He looked about the house.	彼は家の周りを見た。
He saw a light far away.	彼は遠くに明かりを見た。
He speaks English well.	彼は英語を話すのが上手い。
He speaks English well.	彼は英語をうまくしゃべる。
He is always on the go.	彼はいつも忙しくしている。
You had best go home early.	早く帰宅すべきだ。
We've run out of water.	水を使い果たしてしまった。
Do you have any questions?	質問はおありですか。
I meant to have come.	私は来るつもりだったのですが。
I go to Tokyo every day.	私は毎日東京に行きます。
I showed her my room.	私は彼女に自分の部屋を見せた。
I live in a rooming house.	私は下宿しています。
I always get up at six.	私はいつも六時に起きます。
I want to live in Italy.	私はイタリアに住みたい。
Don't look into my room.	私の部屋を覗かないでよ。
I'll show you my room.	私の部屋へご案内しましょう。
I have no home to live in.	私には住む家がない。
Let me go my own way.	私には私の道を行かせて下さい。
Get that book for me.	私にその本を取ってきて下さい。
We love each other.	私たちはお互いに愛し合っています。
I'm seeing you in a new light.	見直したよ。
You have some books.	君はいくつかの本をもっています。
Your room is out of order.	君の部屋は乱雑だね。
I know what you mean.	君の言わんとすることはわかる。
It is too early to get up.	起きるには早過ぎる。
All my family is very well.	家族一同元気です。
You speak good English.	英語を話すのが上手ですね。
This is a present for you.	プレゼントをどうぞ。
Let's go early, shall we?	はやく出かけましょう。
Which book is yours?	どちらの本があなたのものですか。
Where would I find books?	どこで本が買えますか。
Don't keep the TV on!	テレビをつけっぱなしにするな！
It is smaller than Tokyo.	それは東京より小さい。
That's one level down.	それはもう一つ下の階ですよ。
John ran into the room.	ジョンは部屋にかけ込んだ。
Where does John live?	ジョンはどこに住んでいますか。
Come here! I mean you.	ここへ来なさい。君のことだ。
Kim is living with Ken.	キムはケンと同居している。
Our TV is out of order.	うちのテレビは調子が悪い。
Give that book back to me.	あの本を返してくれ。
May they live long!	あの人たちが長生きされますように。
It's a present for you.	あなたへのプレゼントです。
Do you study every day?	あなたは毎日勉強しますか。
Do you speak Japanese?	あなたは日本語を話しますか。
You can understand me.	あなたは私を理解できますね。
Can you speak German?	あなたはドイツ語を話せますか。
All but one was present.	１人の他みんな出席した。
What does it mean?	どういうことを意味しているのですか。
Let's not do the work.	その仕事はやらないでおこう。
They are both in the room.	二人は部屋にいます。
There are too many people.	あまりに人が多すぎます
You can't run my life.	僕の人生に口を出さないでくれ。
Do you know what I mean?	僕の言いたいことがわかる？
She came out of the room.	彼女は部屋から出てきた。
She is at home in English.	彼女は英語が得意です。
Does she speak French?	彼女はフランス語を話しますか。
She gave me a present.	彼女が僕にプレゼントをくれた。
They are on their way home.	彼らは帰宅の途中だ。
He was about to speak.	彼は話そうとするところだった。
He gave me an example.	彼は私に実例をあたえてくれた。
He isn't at home, is he?	彼は家にいないでしょうね。
Can he speak English?	彼は英語を話すことができますか。
He can also speak French.	彼はフランス語も話せる。
He has come home just now.	彼はたった今到着した。
He is something in the FBI.	彼はＦＢＩの大物だ。
Does he come home at six?	彼は６時に帰宅しますか。
I know him only by name.	彼の事は名前しか知らない。
He has no house to live in.	彼には住む家もない。
It is good to get up early.	早起きはよいことだ。
I'd like some more water.	お水をもう一杯ください。
Can you order it for me?	取り寄せていただけますか。
Keep up with the times.	時代に遅れないようにしよう。
Where is the changing room?	試着室はどこですか。
We live in New York.	私達はニューヨークに住んでいます。
I am at home every evening.	私は毎晩家にいます。
I go home early every day.	私は毎日早く家へ帰る。
I know him only by name.	私は彼の名前は知っている。
I have a book in my hand.	私は手に本を持っている。
I study English at home.	私は家で英語を勉強します。
I can speak French.	私はフランス語を話すことが出来ます。
My time is running out.	私の時間は切れかかっている。
Let me say what I think.	私の考えを言わせて下さい。
Do you see what I mean?	私の言う意味が分かりますか。
My family is a large one.	私の家族は大家族である。
My house is like yours.	私の家は、君の家と似ている。
We kept our books closed.	私たちは本を閉じていた。
We spoke what we know.	私たちは知っている事を話した。
May I speak to Mr. Sato?	佐藤さんとお話出来ますか。
Where do you live now?	現在はどちらにお住まいですか。
I can't live without you.	君無しでは生きられない。
You may keep the book.	君はその本を持っていていいよ。
Could you let him out?	外に出してやってくれませんか。
Do you have any questions?	何か質問がありますか。
I'll give you a present.	何かプレゼントをあげるね。
Must I speak English?	英語を話さなければなりませんか。
Love will come in time.	やがて愛情が生まれるだろう。
You are to get up earlier.	もっと早起きしなさい。
Mary can speak Japanese.	メアリーは日本語が話せる。
What I mean is this.	ぼくが言わんとするのはこのことだ。
I saw a light far away.	はるか遠くに明かりが見えた。
All but Tom were present.	トムの他はみな出席した。
Does Tony run every day?	トニー君は毎日走りますか。
I'm just another man.	僕はどこにでもいるような男です。
They live there.	だって２人ともそこに住んでいるんですもの。
It's out of the question.	それは問題外で不可能だ。
That is out of the question.	それは問題外だよ。
Of what value is it?	それはどれほど価値があるのですか。
How is your family?	ご家族の皆さんはご機嫌いかがですか。
These are very old books.	これらは大変古い本です。
These books are my books.	これらの本は私の本です。
This is a very new book.	これはとても新しい本です。
